agent,agent_type,wins,win_rate,total_profit,average_bid,efficiency,failed_bids,run,memory_access
Random Agent,RandomAgent,2,0.06666666666666667,115,70.66666666666667,0.732484076433121,5,1,yes
Conservative Agent,ConservativeAgent,9,0.3,254,78.16,0.19937205651491366,0,1,yes
Aggressive Agent,AggressiveAgent,5,0.16666666666666666,135,97.125,0.20270270270270271,0,1,yes
Sniper Agent,SniperAgent,2,0.06666666666666667,136,51.9,1.152542372881356,0,1,yes
Adaptive Agent,AdaptiveAgent,12,0.4,41,119.84,0.028236914600550965,5,1,yes
Random Agent,RandomAgent,4,0.13333333333333333,180,78.1923076923077,0.44776119402985076,3,1,no
Conservative Agent,ConservativeAgent,12,0.4,309,58.724137931034484,0.2736935341009743,0,1,no
Aggressive Agent,AggressiveAgent,7,0.23333333333333334,62,75.65517241379311,0.10437710437710437,0,1,no
Sniper Agent,SniperAgent,3,0.1,36,91.5,0.09022556390977443,2,1,no
Adaptive Agent,AdaptiveAgent,4,0.13333333333333333,162,80.13333333333334,0.37850467289719625,0,1,no
Random Agent,RandomAgent,5,0.16666666666666666,302,65.0,0.8531073446327684,4,2,yes
Conservative Agent,ConservativeAgent,4,0.13333333333333333,208,50.0,0.43333333333333335,0,2,yes
Aggressive Agent,AggressiveAgent,5,0.16666666666666666,200,52.4,0.38910505836575876,0,2,yes
Sniper Agent,SniperAgent,2,0.06666666666666667,99,64.9,0.559322033898305,0,2,yes
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,127,104.9,0.08466666666666667,10,2,yes
Random Agent,RandomAgent,5,0.16666666666666666,180,59.82142857142857,0.44554455445544555,2,2,no
Conservative Agent,ConservativeAgent,8,0.26666666666666666,203,47.666666666666664,0.2998522895125554,0,2,no
Aggressive Agent,AggressiveAgent,6,0.2,92,58.333333333333336,0.19742489270386265,0,2,no
Sniper Agent,SniperAgent,2,0.06666666666666667,31,70.4,0.09309309309309309,0,2,no
Adaptive Agent,AdaptiveAgent,9,0.3,354,69.2,0.5841584158415841,0,2,no
Random Agent,RandomAgent,5,0.16666666666666666,276,61.166666666666664,0.7603305785123967,6,3,yes
Conservative Agent,ConservativeAgent,4,0.13333333333333333,45,44.63636363636363,0.07653061224489796,0,3,yes
Aggressive Agent,AggressiveAgent,4,0.13333333333333333,46,54.28,0.1141439205955335,2,3,yes
Sniper Agent,SniperAgent,3,0.1,182,62.77777777777778,0.6946564885496184,1,3,yes
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,30,99.08695652173913,0.020477815699658702,7,3,yes
Random Agent,RandomAgent,6,0.2,169,81.75862068965517,0.33665338645418325,1,3,no
Conservative Agent,ConservativeAgent,12,0.4,326,74.44827586206897,0.2267037552155772,1,3,no
Aggressive Agent,AggressiveAgent,7,0.23333333333333334,57,71.46666666666667,0.09018987341772151,0,3,no
Sniper Agent,SniperAgent,1,0.03333333333333333,16,82.33333333333333,0.1927710843373494,1,3,no
Adaptive Agent,AdaptiveAgent,4,0.13333333333333333,110,79.83333333333333,0.29891304347826086,0,3,no
Random Agent,RandomAgent,5,0.16666666666666666,276,68.64,0.5847457627118644,3,4,yes
Conservative Agent,ConservativeAgent,9,0.3,248,63.82142857142857,0.2777155655095185,0,4,yes
Aggressive Agent,AggressiveAgent,2,0.06666666666666667,46,65.86363636363636,0.16727272727272727,3,4,yes
Sniper Agent,SniperAgent,1,0.03333333333333333,23,83.66666666666667,0.20353982300884957,1,4,yes
Adaptive Agent,AdaptiveAgent,13,0.43333333333333335,122,93.72,0.08525506638714186,5,4,yes
Random Agent,RandomAgent,7,0.23333333333333334,249,67.73333333333333,0.3562231759656652,0,4,no
Conservative Agent,ConservativeAgent,6,0.2,168,47.36666666666667,0.3888888888888889,0,4,no
Aggressive Agent,AggressiveAgent,7,0.23333333333333334,137,67.96666666666667,0.2130637636080871,0,4,no
Sniper Agent,SniperAgent,1,0.03333333333333333,15,64.22222222222223,0.11029411764705882,1,4,no
Adaptive Agent,AdaptiveAgent,9,0.3,382,78.4,0.45047169811320753,0,4,no
Random Agent,RandomAgent,3,0.1,148,60.30434782608695,0.5522388059701493,3,5,yes
Conservative Agent,ConservativeAgent,5,0.16666666666666666,162,64.22727272727273,0.26644736842105265,0,5,yes
Aggressive Agent,AggressiveAgent,4,0.13333333333333333,42,78.14285714285714,0.07473309608540925,0,5,yes
Sniper Agent,SniperAgent,2,0.06666666666666667,73,55.4,0.37628865979381443,0,5,yes
Adaptive Agent,AdaptiveAgent,16,0.5333333333333333,18,93.57692307692308,0.012145748987854251,4,5,yes
Random Agent,RandomAgent,1,0.03333333333333333,65,67.51851851851852,0.65,3,5,no
Conservative Agent,ConservativeAgent,11,0.36666666666666664,255,66.53333333333333,0.22506619593998234,0,5,no
Aggressive Agent,AggressiveAgent,10,0.3333333333333333,199,77.41379310344827,0.20494335736354274,1,5,no
Sniper Agent,SniperAgent,3,0.1,73,69.22222222222223,0.27756653992395436,1,5,no
Adaptive Agent,AdaptiveAgent,5,0.16666666666666666,153,77.6,0.36342042755344417,0,5,no
Random Agent,RandomAgent,4,0.13333333333333333,191,83.1,0.35239852398523985,4,6,yes
Conservative Agent,ConservativeAgent,5,0.16666666666666666,132,75.34782608695652,0.20496894409937888,0,6,yes
Aggressive Agent,AggressiveAgent,6,0.2,30,82.8,0.0351288056206089,1,6,yes
Sniper Agent,SniperAgent,2,0.06666666666666667,20,59.77777777777778,0.0823045267489712,0,6,yes
Adaptive Agent,AdaptiveAgent,13,0.43333333333333335,26,112.55555555555556,0.017980636237897647,3,6,yes
Random Agent,RandomAgent,5,0.16666666666666666,184,85.1923076923077,0.35589941972920697,4,6,no
Conservative Agent,ConservativeAgent,12,0.4,293,68.16666666666667,0.26757990867579906,0,6,no
Aggressive Agent,AggressiveAgent,5,0.16666666666666666,113,61.7,0.22920892494929007,0,6,no
Sniper Agent,SniperAgent,3,0.1,27,76.0,0.07803468208092486,0,6,no
Adaptive Agent,AdaptiveAgent,5,0.16666666666666666,214,74.2,0.5661375661375662,0,6,no
Random Agent,RandomAgent,1,0.03333333333333333,39,77.0,0.4431818181818182,4,7,yes
Conservative Agent,ConservativeAgent,8,0.26666666666666666,206,65.92307692307692,0.24494649227110582,0,7,yes
Aggressive Agent,AggressiveAgent,6,0.2,155,85.91304347826087,0.19112207151664612,1,7,yes
Sniper Agent,SniperAgent,0,0.0,0,66.55555555555556,0,0,7,yes
Adaptive Agent,AdaptiveAgent,15,0.5,284,87.82758620689656,0.19915848527349228,1,7,yes
Random Agent,RandomAgent,5,0.16666666666666666,153,71.1304347826087,0.326226012793177,7,7,no
Conservative Agent,ConservativeAgent,6,0.2,164,63.5,0.3253968253968254,0,7,no
Aggressive Agent,AggressiveAgent,11,0.36666666666666664,126,73.9,0.12280701754385964,0,7,no
Sniper Agent,SniperAgent,1,0.03333333333333333,1,63.333333333333336,0.010638297872340425,1,7,no
Adaptive Agent,AdaptiveAgent,7,0.23333333333333334,334,74.13333333333334,0.4805755395683453,0,7,no
Random Agent,RandomAgent,3,0.1,155,68.41176470588235,0.7673267326732673,6,8,yes
Conservative Agent,ConservativeAgent,4,0.13333333333333333,85,40.12,0.15711645101663585,0,8,yes
Aggressive Agent,AggressiveAgent,9,0.3,269,64.29166666666667,0.27505112474437626,0,8,yes
Sniper Agent,SniperAgent,0,0.0,0,53.4,0,0,8,yes
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,152,107.30434782608695,0.10133333333333333,7,8,yes
Random Agent,RandomAgent,10,0.3333333333333333,374,91.73076923076923,0.35316336166194523,4,8,no
Conservative Agent,ConservativeAgent,2,0.06666666666666667,42,50.46666666666667,0.24705882352941178,0,8,no
Aggressive Agent,AggressiveAgent,12,0.4,262,77.0,0.1870092790863669,1,8,no
Sniper Agent,SniperAgent,2,0.06666666666666667,25,78.2,0.14285714285714285,0,8,no
Adaptive Agent,AdaptiveAgent,4,0.13333333333333333,143,81.23333333333333,0.49140893470790376,0,8,no
Random Agent,RandomAgent,3,0.1,125,52.22727272727273,0.6313131313131313,4,9,yes
Conservative Agent,ConservativeAgent,6,0.2,120,39.916666666666664,0.20134228187919462,0,9,yes
Aggressive Agent,AggressiveAgent,4,0.13333333333333333,146,44.52173913043478,0.4332344213649852,1,9,yes
Sniper Agent,SniperAgent,3,0.1,7,45.1,0.043478260869565216,0,9,yes
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,185,84.91304347826087,0.12432795698924731,7,9,yes
Random Agent,RandomAgent,6,0.2,207,68.73076923076923,0.35084745762711866,4,9,no
Conservative Agent,ConservativeAgent,11,0.36666666666666664,192,58.6,0.1991701244813278,0,9,no
Aggressive Agent,AggressiveAgent,9,0.3,213,72.89655172413794,0.25058823529411767,1,9,no
Sniper Agent,SniperAgent,0,0.0,0,58.333333333333336,0,1,9,no
Adaptive Agent,AdaptiveAgent,4,0.13333333333333333,189,75.3,0.47368421052631576,0,9,no
Random Agent,RandomAgent,2,0.06666666666666667,186,72.21052631578948,1.0813953488372092,2,10,yes
Conservative Agent,ConservativeAgent,8,0.26666666666666666,166,69.95,0.20194647201946472,0,10,yes
Aggressive Agent,AggressiveAgent,4,0.13333333333333333,178,68.7,0.3403441682600382,0,10,yes
Sniper Agent,SniperAgent,2,0.06666666666666667,90,83.22222222222223,0.4945054945054945,1,10,yes
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,105,91.23076923076923,0.07221458046767538,4,10,yes
Random Agent,RandomAgent,4,0.13333333333333333,168,84.07692307692308,0.35517970401691334,4,10,no
Conservative Agent,ConservativeAgent,11,0.36666666666666664,350,74.10344827586206,0.2996575342465753,0,10,no
Aggressive Agent,AggressiveAgent,9,0.3,192,74.39285714285714,0.21168687982359427,1,10,no
Sniper Agent,SniperAgent,3,0.1,55,66.0,0.20446096654275092,0,10,no
Adaptive Agent,AdaptiveAgent,3,0.1,165,86.63333333333334,0.5481727574750831,0,10,no
