agent,agent_type,wins,win_rate,total_profit,average_bid,efficiency,failed_bids,run,noise_level
Random Agent,RandomAgent,3,0.1,123,63.04347826086956,0.4979757085020243,2,1,low
Conservative Agent,ConservativeAgent,5,0.16666666666666666,99,41.592592592592595,0.17553191489361702,0,1,low
Aggressive Agent,AggressiveAgent,3,0.1,37,56.142857142857146,0.08240534521158129,2,1,low
Sniper Agent,SniperAgent,4,0.13333333333333333,198,62.2,0.6366559485530546,0,1,low
Adaptive Agent,AdaptiveAgent,15,0.5,169,104.95454545454545,0.11266666666666666,8,1,low
Random Agent,RandomAgent,3,0.1,118,69.45454545454545,0.3630769230769231,2,2,low
Conservative Agent,ConservativeAgent,2,0.06666666666666667,15,55.22727272727273,0.060240963855421686,0,2,low
Aggressive Agent,AggressiveAgent,9,0.3,275,69.84,0.23464163822525597,0,2,low
Sniper Agent,SniperAgent,1,0.03333333333333333,43,71.0,0.30714285714285716,0,2,low
Adaptive Agent,AdaptiveAgent,15,0.5,66,90.78571428571429,0.04564315352697095,2,2,low
Random Agent,RandomAgent,1,0.03333333333333333,14,44.875,0.30434782608695654,9,3,low
Conservative Agent,ConservativeAgent,12,0.4,297,64.66666666666667,0.2187039764359352,0,3,low
Aggressive Agent,AggressiveAgent,3,0.1,22,76.4,0.05774278215223097,1,3,low
Sniper Agent,SniperAgent,0,0.0,0,57.333333333333336,0,1,3,low
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,120,108.8076923076923,0.08032128514056225,4,3,low
Random Agent,RandomAgent,2,0.06666666666666667,84,79.05555555555556,0.3605150214592275,3,4,low
Conservative Agent,ConservativeAgent,9,0.3,265,88.47826086956522,0.22381756756756757,0,4,low
Aggressive Agent,AggressiveAgent,3,0.1,19,58.76,0.05956112852664577,0,4,low
Sniper Agent,SniperAgent,1,0.03333333333333333,47,59.8,0.3790322580645161,0,4,low
Adaptive Agent,AdaptiveAgent,15,0.5,98,100.07407407407408,0.06533333333333333,3,4,low
Random Agent,RandomAgent,4,0.13333333333333333,179,63.36363636363637,0.4133949191685912,4,5,low
Conservative Agent,ConservativeAgent,3,0.1,27,20.384615384615383,0.10074626865671642,0,5,low
Aggressive Agent,AggressiveAgent,7,0.23333333333333334,181,51.07692307692308,0.2552891396332863,0,5,low
Sniper Agent,SniperAgent,1,0.03333333333333333,25,29.77777777777778,0.46296296296296297,1,5,low
Adaptive Agent,AdaptiveAgent,15,0.5,156,98.38095238095238,0.10427807486631016,9,5,low
Random Agent,RandomAgent,0,0.0,0,50.1578947368421,0,6,6,low
Conservative Agent,ConservativeAgent,7,0.23333333333333334,273,52.4,0.5652173913043478,0,6,low
Aggressive Agent,AggressiveAgent,8,0.26666666666666666,263,62.391304347826086,0.33674775928297057,3,6,low
Sniper Agent,SniperAgent,1,0.03333333333333333,14,49.333333333333336,0.11965811965811966,0,6,low
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,183,90.04347826086956,0.12314939434724091,7,6,low
Random Agent,RandomAgent,3,0.1,167,60.05882352941177,0.5318471337579618,6,7,low
Conservative Agent,ConservativeAgent,7,0.23333333333333334,194,69.42857142857143,0.2143646408839779,0,7,low
Aggressive Agent,AggressiveAgent,3,0.1,50,58.1,0.15527950310559005,2,7,low
Sniper Agent,SniperAgent,1,0.03333333333333333,3,72.16666666666667,0.030303030303030304,2,7,low
Adaptive Agent,AdaptiveAgent,16,0.5333333333333333,63,94.9,0.043568464730290454,0,7,low
Random Agent,RandomAgent,4,0.13333333333333333,160,71.45833333333333,0.35714285714285715,1,8,low
Conservative Agent,ConservativeAgent,5,0.16666666666666666,148,57.0,0.29133858267716534,0,8,low
Aggressive Agent,AggressiveAgent,5,0.16666666666666666,135,60.851851851851855,0.21462639109697934,1,8,low
Sniper Agent,SniperAgent,0,0.0,0,70.66666666666667,0,0,8,low
Adaptive Agent,AdaptiveAgent,16,0.5333333333333333,192,93.22222222222223,0.12808539026017346,3,8,low
Random Agent,RandomAgent,2,0.06666666666666667,93,68.0,0.49206349206349204,2,9,low
Conservative Agent,ConservativeAgent,11,0.36666666666666664,524,62.535714285714285,0.512720156555773,0,9,low
Aggressive Agent,AggressiveAgent,8,0.26666666666666666,149,58.58620689655172,0.19005102040816327,0,9,low
Sniper Agent,SniperAgent,0,0.0,0,45.285714285714285,0,1,9,low
Adaptive Agent,AdaptiveAgent,9,0.3,146,76.51724137931035,0.21693907875185736,0,9,low
Random Agent,RandomAgent,0,0.0,0,65.46666666666667,0,5,10,low
Conservative Agent,ConservativeAgent,7,0.23333333333333334,162,67.72,0.16963350785340314,0,10,low
Aggressive Agent,AggressiveAgent,5,0.16666666666666666,73,55.61538461538461,0.13644859813084112,1,10,low
Sniper Agent,SniperAgent,1,0.03333333333333333,6,79.14285714285714,0.08333333333333333,2,10,low
Adaptive Agent,AdaptiveAgent,17,0.5666666666666667,148,94.07142857142857,0.10157858613589568,1,10,low
Random Agent,RandomAgent,1,0.03333333333333333,78,65.56521739130434,1.368421052631579,3,1,medium
Conservative Agent,ConservativeAgent,6,0.2,122,49.370370370370374,0.16944444444444445,0,1,medium
Aggressive Agent,AggressiveAgent,7,0.23333333333333334,453,64.41666666666667,0.6874051593323217,0,1,medium
Sniper Agent,SniperAgent,2,0.06666666666666667,64,64.5,0.3316062176165803,0,1,medium
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,128,112.47368421052632,0.08533333333333333,11,1,medium
Random Agent,RandomAgent,4,0.13333333333333333,183,69.36363636363636,0.44963144963144963,2,2,medium
Conservative Agent,ConservativeAgent,6,0.2,331,66.82608695652173,0.4211195928753181,0,2,medium
Aggressive Agent,AggressiveAgent,3,0.1,57,69.43478260869566,0.11776859504132231,1,2,medium
Sniper Agent,SniperAgent,2,0.06666666666666667,115,55.2,0.5227272727272727,0,2,medium
Adaptive Agent,AdaptiveAgent,15,0.5,95,91.89285714285714,0.06375838926174497,2,2,medium
Random Agent,RandomAgent,1,0.03333333333333333,13,49.76470588235294,0.2765957446808511,8,3,medium
Conservative Agent,ConservativeAgent,7,0.23333333333333334,161,60.391304347826086,0.20747422680412372,0,3,medium
Aggressive Agent,AggressiveAgent,4,0.13333333333333333,11,77.72727272727273,0.020036429872495445,2,3,medium
Sniper Agent,SniperAgent,4,0.13333333333333333,-55,106.75,-0.07586206896551724,0,3,medium
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,74,113.89285714285714,0.05124653739612189,1,3,medium
Random Agent,RandomAgent,2,0.06666666666666667,119,70.66666666666667,0.601010101010101,2,4,medium
Conservative Agent,ConservativeAgent,8,0.26666666666666666,391,73.27272727272727,0.40602284527518173,0,4,medium
Aggressive Agent,AggressiveAgent,1,0.03333333333333333,76,50.916666666666664,1.52,0,4,medium
Sniper Agent,SniperAgent,4,0.13333333333333333,203,62.4,0.4592760180995475,0,4,medium
Adaptive Agent,AdaptiveAgent,15,0.5,117,107.52380952380952,0.07841823056300268,9,4,medium
Random Agent,RandomAgent,3,0.1,149,62.333333333333336,0.45426829268292684,6,5,medium
Conservative Agent,ConservativeAgent,6,0.2,29,36.07692307692308,0.05087719298245614,0,5,medium
Aggressive Agent,AggressiveAgent,5,0.16666666666666666,226,51.81481481481482,0.5839793281653747,1,5,medium
Sniper Agent,SniperAgent,1,0.03333333333333333,25,29.333333333333332,0.46296296296296297,1,5,medium
Adaptive Agent,AdaptiveAgent,15,0.5,173,97.7,0.11533333333333333,10,5,medium
Random Agent,RandomAgent,3,0.1,174,49.857142857142854,0.5631067961165048,3,6,medium
Conservative Agent,ConservativeAgent,2,0.06666666666666667,76,34.08,0.4444444444444444,0,6,medium
Aggressive Agent,AggressiveAgent,6,0.2,197,58.45454545454545,0.343205574912892,2,6,medium
Sniper Agent,SniperAgent,2,0.06666666666666667,104,46.375,0.6887417218543046,0,6,medium
Adaptive Agent,AdaptiveAgent,17,0.5666666666666667,135,87.4,0.09,5,6,medium
Random Agent,RandomAgent,1,0.03333333333333333,96,44.473684210526315,1.0786516853932584,4,7,medium
Conservative Agent,ConservativeAgent,6,0.2,82,49.608695652173914,0.12257100149476831,0,7,medium
Aggressive Agent,AggressiveAgent,7,0.23333333333333334,243,71.26086956521739,0.391304347826087,0,7,medium
Sniper Agent,SniperAgent,1,0.03333333333333333,0,41.375,0.0,2,7,medium
Adaptive Agent,AdaptiveAgent,15,0.5,125,99.875,0.08378016085790885,6,7,medium
Random Agent,RandomAgent,5,0.16666666666666666,423,58.0,1.1073298429319371,3,8,medium
Conservative Agent,ConservativeAgent,1,0.03333333333333333,31,47.24,0.2605042016806723,0,8,medium
Aggressive Agent,AggressiveAgent,7,0.23333333333333334,285,54.57142857142857,0.4014084507042254,0,8,medium
Sniper Agent,SniperAgent,1,0.03333333333333333,65,41.142857142857146,0.9285714285714286,0,8,medium
Adaptive Agent,AdaptiveAgent,16,0.5333333333333333,248,83.92307692307692,0.16756756756756758,3,8,medium
Random Agent,RandomAgent,2,0.06666666666666667,73,67.81818181818181,0.3492822966507177,4,9,medium
Conservative Agent,ConservativeAgent,8,0.26666666666666666,273,70.33333333333333,0.32004689331770225,0,9,medium
Aggressive Agent,AggressiveAgent,7,0.23333333333333334,149,67.91304347826087,0.1714614499424626,1,9,medium
Sniper Agent,SniperAgent,1,0.03333333333333333,-7,124.0,-0.03431372549019608,1,9,medium
Adaptive Agent,AdaptiveAgent,12,0.4,145,94.2,0.13822688274547187,0,9,medium
Random Agent,RandomAgent,1,0.03333333333333333,133,73.06666666666666,2.418181818181818,2,10,medium
Conservative Agent,ConservativeAgent,4,0.13333333333333333,7,76.2,0.010309278350515464,0,10,medium
Aggressive Agent,AggressiveAgent,5,0.16666666666666666,40,71.23809523809524,0.060514372163388806,2,10,medium
Sniper Agent,SniperAgent,2,0.06666666666666667,1,81.0,0.0029585798816568047,0,10,medium
Adaptive Agent,AdaptiveAgent,18,0.6,83,96.03846153846153,0.05600539811066127,4,10,medium
Random Agent,RandomAgent,1,0.03333333333333333,81,65.33333333333333,1.5,2,1,high
Conservative Agent,ConservativeAgent,6,0.2,136,46.11538461538461,0.1810918774966711,0,1,high
Aggressive Agent,AggressiveAgent,6,0.2,457,64.125,0.7947826086956522,1,1,high
Sniper Agent,SniperAgent,2,0.06666666666666667,64,59.5,0.3316062176165803,0,1,high
Adaptive Agent,AdaptiveAgent,15,0.5,84,109.25,0.056,10,1,high
Random Agent,RandomAgent,1,0.03333333333333333,18,69.69565217391305,0.12857142857142856,2,2,high
Conservative Agent,ConservativeAgent,6,0.2,151,66.13636363636364,0.20053120849933598,0,2,high
Aggressive Agent,AggressiveAgent,5,0.16666666666666666,73,80.52173913043478,0.08752997601918465,1,2,high
Sniper Agent,SniperAgent,3,0.1,87,98.625,0.26851851851851855,2,2,high
Adaptive Agent,AdaptiveAgent,15,0.5,242,104.03846153846153,0.16759002770083103,4,2,high
Random Agent,RandomAgent,4,0.13333333333333333,318,60.27272727272727,1.143884892086331,1,3,high
Conservative Agent,ConservativeAgent,3,0.1,139,51.95454545454545,0.6289592760180995,0,3,high
Aggressive Agent,AggressiveAgent,6,0.2,16,65.91304347826087,0.021052631578947368,0,3,high
Sniper Agent,SniperAgent,2,0.06666666666666667,173,59.333333333333336,1.2720588235294117,0,3,high
Adaptive Agent,AdaptiveAgent,15,0.5,150,88.5,0.10259917920656635,3,3,high
Random Agent,RandomAgent,2,0.06666666666666667,69,81.21052631578948,0.23,2,4,high
Conservative Agent,ConservativeAgent,6,0.2,260,75.13636363636364,0.3225806451612903,0,4,high
Aggressive Agent,AggressiveAgent,5,0.16666666666666666,10,71.66666666666667,0.013123359580052493,1,4,high
Sniper Agent,SniperAgent,2,0.06666666666666667,120,65.33333333333333,0.5263157894736842,1,4,high
Adaptive Agent,AdaptiveAgent,15,0.5,344,104.0,0.24259520451339917,1,4,high
Random Agent,RandomAgent,4,0.13333333333333333,209,59.80952380952381,0.6785714285714286,4,5,high
Conservative Agent,ConservativeAgent,5,0.16666666666666666,28,37.07692307692308,0.05588822355289421,0,5,high
Aggressive Agent,AggressiveAgent,3,0.1,173,52.5,0.5339506172839507,2,5,high
Sniper Agent,SniperAgent,3,0.1,37,41.7,0.18226600985221675,0,5,high
Adaptive Agent,AdaptiveAgent,15,0.5,191,94.0952380952381,0.12887989203778677,9,5,high
Random Agent,RandomAgent,4,0.13333333333333333,289,58.869565217391305,1.0321428571428573,2,6,high
Conservative Agent,ConservativeAgent,4,0.13333333333333333,151,41.65384615384615,0.3552941176470588,0,6,high
Aggressive Agent,AggressiveAgent,8,0.26666666666666666,368,61.12,0.4730077120822622,0,6,high
Sniper Agent,SniperAgent,0,0.0,0,49.0,0,0,6,high
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,34,100.95833333333333,0.02266666666666667,6,6,high
Random Agent,RandomAgent,3,0.1,150,53.904761904761905,0.5747126436781609,5,7,high
Conservative Agent,ConservativeAgent,7,0.23333333333333334,345,62.791666666666664,0.41717049576783555,0,7,high
Aggressive Agent,AggressiveAgent,3,0.1,50,57.13636363636363,0.1187648456057007,0,7,high
Sniper Agent,SniperAgent,2,0.06666666666666667,85,54.77777777777778,0.5782312925170068,0,7,high
Adaptive Agent,AdaptiveAgent,15,0.5,268,105.125,0.17866666666666667,6,7,high
Random Agent,RandomAgent,4,0.13333333333333333,172,62.708333333333336,0.3944954128440367,2,8,high
Conservative Agent,ConservativeAgent,2,0.06666666666666667,27,59.869565217391305,0.1125,0,8,high
Aggressive Agent,AggressiveAgent,6,0.2,142,58.92307692307692,0.2128935532233883,0,8,high
Sniper Agent,SniperAgent,1,0.03333333333333333,-31,62.8,-0.22627737226277372,3,8,high
Adaptive Agent,AdaptiveAgent,17,0.5666666666666667,331,88.21428571428571,0.23342736248236953,1,8,high
Random Agent,RandomAgent,1,0.03333333333333333,12,55.45454545454545,0.14634146341463414,3,9,high
Conservative Agent,ConservativeAgent,9,0.3,353,54.25,0.3975225225225225,0,9,high
Aggressive Agent,AggressiveAgent,4,0.13333333333333333,121,56.19047619047619,0.25313807531380755,1,9,high
Sniper Agent,SniperAgent,1,0.03333333333333333,-26,57.166666666666664,-0.16993464052287582,0,9,high
Adaptive Agent,AdaptiveAgent,15,0.5,188,91.62068965517241,0.14008941877794337,0,9,high
Random Agent,RandomAgent,2,0.06666666666666667,117,84.13333333333334,0.4854771784232365,2,10,high
Conservative Agent,ConservativeAgent,7,0.23333333333333334,71,86.31818181818181,0.06623134328358209,0,10,high
Aggressive Agent,AggressiveAgent,2,0.06666666666666667,19,65.73913043478261,0.07630522088353414,1,10,high
Sniper Agent,SniperAgent,2,0.06666666666666667,60,82.4,0.20202020202020202,0,10,high
Adaptive Agent,AdaptiveAgent,17,0.5666666666666667,171,102.35714285714286,0.11983181499649614,2,10,high
